,GDP,CPI_U,CPIF_U,CPIE_U,CPIXFE_U,S,RS,GDP_RW_U,CPI_RW,RS_RW,D4L_CPI_TAR,WOIL_U,WFOOD_U,w_CPIF,w_CPIE,EMBI,UNEM
2002Q1,109711.1678,49.43123664,42.41111836,37.55341615,53.70136637,2280.894778,7.99444,61.59504014,70.67879359,1.733333333,6,31.42127721,56.77425103,0.228030007,0.105004931,5.52546875,15.4
2002Q2,113275.5508,50.31839112,44.24715136,38.22739954,54.29766789,2311.085495,6.09615,63.65559021,71.11434918,1.75,6,37.25086982,59.43191225,0.228030007,0.105004931,5.532461538,15.53
2002Q3,112668.0826,50.5570116,44.29537378,38.57509547,54.58421145,2634.644674,5.25,63.17749938,71.58950073,1.74,6,39.1455918,64.02618249,0.228030007,0.105004931,8.426363636,15.47
2002Q4,113554.4742,51.32138156,45.70914951,39.1029374,55.16379302,2792.533913,5.25,65.01247007,71.98546036,1.443333333,6,38.75506728,64.81944215,0.228030007,0.105004931,7.833333333,16.13
2003Q1,114304.8769,52.97081688,46.92580051,41.57753168,56.83128333,2937.818222,6.03889,62.8512086,72.81697558,1.25,5.5,44.83389402,63.74155959,0.228030007,0.105004931,6.46359375,14.07
2003Q2,116015.6859,53.76664425,47.82740571,42.58911677,57.55697788,2869.596484,6.94231,64.34302195,72.50020788,1.246666667,5.5,37.8011967,62.71993258,0.228030007,0.105004931,4.859076923,13.87
2003Q3,117198.3555,53.96870146,47.10903649,43.64150042,57.93984873,2855.191304,7.25,65.27790823,73.29212713,1.016666667,5.5,41.26342775,64.53338239,0.228030007,0.105004931,4.477575758,14.53
2003Q4,119296.3847,54.47622557,47.98414715,44.18811839,58.31554313,2842.302609,7.25,67.44921857,73.45051099,0.996666667,5.5,42.63480968,71.85732166,0.228030007,0.105004931,4.501969697,13.83
2004Q1,121369.6744,56.0717923,50.09906278,45.99533389,59.7002273,2713.223736,7.12088,65.6204219,74.08404639,1.003333333,5.5,45.79579797,81.08852291,0.228030007,0.105004931,4.074615385,14.5
2004Q2,121117.9021,56.81819414,51.05089905,47.15999508,60.31054329,2692.812418,6.75,67.54351216,74.79677372,1.01,5.5,51.45849042,74.58188374,0.228030007,0.105004931,4.637538462,14.1
2004Q3,122338.5018,57.01906146,50.78153602,47.32921273,60.67716141,2601.826196,6.75,67.99109746,75.15313739,1.433333333,5.5,59.6311639,70.66410152,0.228030007,0.105004931,4.257575758,12.87
2004Q4,126892.5802,57.30853949,50.65280215,48.34474978,60.99531424,2507.65413,6.71739,70.24665372,75.90546068,1.95,5.5,65.27236923,69.43460961,0.228030007,0.105004931,3.679242424,13.03
2005Q1,126279.0718,58.70204614,52.91811089,50.06783047,62.03887163,2354.116889,6.5,67.90201893,76.45980416,2.47,5,70.29954766,75.83823827,0.228030007,0.105004931,3.638125,12.37
2005Q2,128498.5126,59.38300496,54.21697069,50.70065921,62.5161525,2340.588242,6.5,70.10315759,76.69737994,2.943333333,5,77.32227748,72.44435978,0.228030007,0.105004931,3.740153846,11.97
2005Q3,128968.203,59.66977944,54.14923764,51.21503178,62.88829793,2308.482826,6.43478,70.84465026,78.71677404,3.46,5,90.67753009,72.00171881,0.228030007,0.105004931,2.963484848,11.73
2005Q4,131107.2127,59.93557663,54.11862557,51.45016538,63.26026265,2283.707826,6,72.56983144,78.4396023,3.98,5,84.51683317,73.96128473,0.228030007,0.105004931,2.568,11.23
2006Q1,133876.2637,61.06026142,55.69721105,52.17794389,64.29225014,2264.068,6,70.42475456,79.0731377,4.456666667,4.5,91.7021567,76.90567317,0.228030007,0.105004931,1.853538462,11.53
2006Q2,135915.2079,61.69680549,56.73206764,52.62255314,64.82283197,2431.855604,6.19231,72.72592301,79.90465292,4.906666667,4.5,102.9838577,76.41894347,0.228030007,0.105004931,1.984923077,11.47
2006Q3,138828.0753,62.27984431,57.46241672,54.09822718,65.21497285,2434.178261,6.6087,72.71110914,80.30061255,5.246666667,4.5,103.4821692,77.16636474,0.228030007,0.105004931,2.099384615,12.77
2006Q4,140815.4531,62.5159813,57.18020827,54.28847935,65.63555196,2304.46413,7.20652,74.76540543,80.41940044,5.246666667,4.5,88.75371965,84.67971322,0.228030007,0.105004931,1.839076923,12.57
2007Q1,143092.4304,64.35455129,60.93942531,55.88506722,66.85556504,2222.026667,7.78333,71.78920301,81.2857601,5.256666667,4,85.85189375,87.87478948,0.228030007,0.105004931,1.664461538,11.87
2007Q2,145191.2575,65.16713665,62.52496284,56.35381407,67.45801714,2025.768462,8.55769,74.25788282,82.05629754,5.25,4,100.4799154,94.72427998,0.228030007,0.105004931,1.271384615,11.27
2007Q3,148244.5228,65.2576712,61.38473181,57.35738903,67.82559429,2039.640543,9.1712,74.78206806,82.57619253,5.073333333,4,109.1162645,103.9061027,0.228030007,0.105004931,1.673846154,11
2007Q4,149928.7893,65.88120307,62.24271294,57.82988438,68.39274857,2020.144022,9.34783,77.22061581,83.72368353,4.496666667,4,129.6643396,116.0014888,0.228030007,0.105004931,1.813333333,10.97
2008Q1,150237.463,67.37592321,66.35481905,60.16431564,69.68493185,1910.775055,9.5989,74.86120649,84.51679067,3.176666667,4,140.9962682,143.9913361,0.201406048,0.172079595,2.506307692,11.1
2008Q2,151619.7685,68.83967346,70.67293124,61.20143868,70.3482664,1767.599121,9.75,76.07322614,86.10656857,2.086666667,4,179.7132503,152.3870689,0.201406048,0.172079595,1.919846154,11.13
2008Q3,153324.0341,69.24097562,70.01029611,63.27705712,70.63172249,1896.410978,9.92663,75.62689435,86.66645549,1.94,4,171.4719736,126.2833918,0.201406048,0.172079595,2.365757576,11.6
2008Q4,150531.7343,69.9475281,71.24911966,63.17467503,71.38934885,2290.882935,9.94565,75.90974801,83.70507343,0.506666667,4,83.68046623,95.53173673,0.201406048,0.172079595,5.396363636,11.7
2009Q1,151297.5029,71.29044671,72.30393674,64.94914969,72.7063517,2408.477889,8.75556,71.2969296,84.13944114,0.183333333,5,66.917864,101.4127637,0.201406048,0.172079595,4.88359375,12
2009Q2,152440.2418,71.49663862,71.91469035,64.81796383,73.19662441,2230.427363,5.98901,73.22286363,85.04816849,0.18,5,87.53755129,112.6054909,0.201406048,0.172079595,3.462153846,11.87
2009Q3,153857.5261,71.41757958,70.62646565,64.96968987,73.44288892,2015.365,4.4837,73.97276382,85.47224125,0.156666667,5,100.8067735,107.43963,0.201406048,0.172079595,2.702424242,12.43
2009Q4,155020.7292,71.33190062,69.59642348,65.20188922,73.57348608,1965.306304,3.79348,76.56222572,86.06063726,0.12,5,110.5862968,113.3355207,0.201406048,0.172079595,2.131969697,12.53
2010Q1,156757.9768,72.57580963,71.52657973,67.34458461,74.34992432,1947.925,3.5,73.08636862,86.06301302,0.133333333,3,113.2581589,107.5765893,0.201406048,0.172079595,2.10359375,12.07
2010Q2,159159.7471,73.05930523,72.19223327,68.19757826,74.67337446,1949.672967,3.17582,76.00486955,86.00203523,0.193333333,3,116.3315363,103.5294046,0.201406048,0.172079595,2.085846154,12.23
2010Q3,160368.3925,73.00193795,71.08258156,68.58731566,74.83148325,1834.099348,3,76.85718759,86.42808779,0.186666667,3,112.6455874,121.5838063,0.201406048,0.172079595,1.801969697,11.77
2010Q4,163864.8836,73.54692821,72.31215511,69.3640011,75.09276217,1864.662065,3,79.5017103,87.29801109,0.186666667,3,127.993356,139.7259951,0.201406048,0.172079595,1.568787879,11.9
2011Q1,167212.9944,74.83459787,73.95884948,71.89211429,75.92431336,1876.911556,3.11667,75.96369088,88.31721118,0.156666667,3,154.4395968,143.6287502,0.201406048,0.172079595,1.5075,11.5
2011Q2,169449.7213,75.37963162,74.86185225,72.24558038,76.40688687,1797.863407,3.78022,78.28046219,89.01410012,0.093333333,3,171.3831388,143.2557731,0.201406048,0.172079595,1.478615385,11.3
2011Q3,173107.2128,75.68440244,75.27816013,72.97343382,76.55959713,1793.058261,4.41576,78.54865113,89.72326382,0.083333333,3,164.0615436,143.2175545,0.201406048,0.172079595,1.759090909,10.8
2011Q4,174858.0714,76.25475065,76.0219767,73.37742699,77.11987172,1920.152391,4.59239,81.17225051,89.97113454,0.073333333,3,159.5468326,132.447466,0.201406048,0.172079595,1.969384615,10.6
2012Q1,175886.9471,77.35246903,76.91073939,75.4860801,78.00709804,1801.185934,5.01099,78.08303016,90.59833459,0.103333333,3,173.1169837,142.3666721,0.201406048,0.172079595,1.739076923,10.63
2012Q2,178080.6579,77.7758773,77.59547746,75.20993163,78.53863797,1786.763187,5.25,80.17603293,90.48627802,0.153333333,3,159.5198116,139.3223015,0.201406048,0.172079595,1.651384615,10.77
2012Q3,177752.5438,78.01123749,77.50020972,75.55624162,78.8498117,1797.304783,4.9837,80.64939825,91.47261345,0.143333333,3,160.1487245,152.2795632,0.201406048,0.172079595,1.355846154,10.53
2012Q4,179694.8512,78.1137722,77.14691629,75.08989909,79.2551307,1805.806304,4.63043,83.05472534,91.55418114,0.16,3,161.1615499,142.6034514,0.201406048,0.172079595,1.164545455,10.53
2013Q1,182341.9411,78.84989731,77.38624174,76.10375597,80.07468005,1791.348889,3.94722,79.33070164,91.9742943,0.143333333,3,164.7625709,139.4409355,0.201406048,0.172079595,1.2796875,10.33
2013Q2,186767.7131,79.44810454,77.89138512,77.03459828,80.61144243,1862.505275,3.25,82.0565083,92.03883572,0.116666667,3,151.261756,136.5689571,0.201406048,0.172079595,1.479538462,9.97
2013Q3,188144.3798,79.79349407,78.51000684,76.8882776,81.00404983,1907.591522,3.25,83.1032583,92.47399535,0.083333333,3,160.4909388,127.6162151,0.201406048,0.172079595,1.777727273,9.77
2013Q4,190684.9661,79.63452727,76.97306692,76.25930622,81.41715342,1913.188043,3.25,86.28541453,92.93924791,0.086666667,3,160.1072889,126.1295125,0.201406048,0.172079595,1.77,9.5
2014Q1,193328.783,80.82727617,78.4457452,78.15616494,82.32652111,2004.053333,3.25,81.50415241,93.45755907,0.073333333,3,157.9514068,132.2387514,0.201406048,0.172079595,1.82265625,9.57
2014Q2,194022.2512,81.66626025,80.16473716,78.94264764,82.89702851,1913.606374,3.52198,84.75998712,93.9338985,0.093333333,3,160.63938,126.6327999,0.201406048,0.172079595,1.534,9.37
2014Q3,195876.3669,82.06117311,81.06541589,79.59638331,83.05826368,1909.134239,4.24728,86.19878362,94.03130457,0.09,3,151.4221656,116.4868765,0.201406048,0.172079595,1.501969697,9.27
2014Q4,198361.5988,82.5257268,81.00714964,79.99130105,83.71001503,2173.651739,4.5,89.53364575,93.54625402,0.1,3,112.429812,115.8134367,0.201406048,0.172079595,1.826666667,9.4
2015Q1,199136.5602,84.52612455,85.60277772,80.89285526,85.17793252,2469.334,4.5,85.07634095,93.43696917,0.11,3,80.7469308,107.3827164,0.201406048,0.172079595,2.20078125,8.9
2015Q2,200793.9607,85.30096524,85.77025881,81.28615207,86.2528171,2501.047912,4.5,88.32503874,94.1025773,0.123333333,3,92.7525965,103.2780553,0.201406048,0.172079595,2.166,9.3
2015Q3,202757.2395,86.48185681,87.92382429,82.47610736,87.118533,2935.603913,4.50815,89.16174386,94.03961972,0.136666667,3,75.08382639,96.29957116,0.201406048,0.172079595,2.68969697,9.3
2015Q4,202004.2397,88.15178064,91.60308981,83.53603958,88.31005366,3058.969348,5.1875,91.62387602,94.1437571,0.16,3,65.26039403,96.46090165,0.201406048,0.172079595,2.926969697,9.3
2016Q1,203537.9377,91.27912141,97.99825082,86.73191953,90.36806066,3249.035824,6.04945,87.42142501,94.27006822,0.36,3,51.69289724,99.73716906,0.201406048,0.172079595,3.551846154,9.7
2016Q2,204784.6329,92.66773442,100.3805577,86.85364563,91.78519567,2994.684945,6.93681,90.58930689,95.11821375,0.373333333,3,68.83049056,112.4980621,0.201406048,0.172079595,2.862615385,9.43
2016Q3,205959.4469,92.78787374,97.79691564,87.68353819,92.5795795,2946.246957,7.66576,91.14342686,95.49595923,0.396666667,3,68.77267526,105.1818895,0.201406048,0.172079595,2.382272727,9.5
2016Q4,207206.9825,93.22008326,97.69882306,88.239376,93.14830965,3015.484674,7.71467,93.76129334,96.07445625,0.45,3,74.83162053,104.8920877,0.201406048,0.172079595,2.363076923,9.53
2017Q1,206658.7431,95.5572899,99.4277929,90.81752325,95.61486945,2922.468,7.39444,88.82025205,96.57138558,0.7,3,79.92664765,105.0316528,0.201406048,0.172079595,2.018461538,9.6
2017Q2,207472.9932,96.31926698,99.17061141,92.35214425,96.49226041,2919.556044,6.58242,92.88430354,96.67869064,0.95,3,74.45647954,106.3259551,0.201406048,0.172079595,1.958307692,9.47
2017Q3,208758.7979,96.43157432,98.37068762,93.02787654,96.74307203,2976.26087,5.50815,94.07389747,97.57831092,1.153333333,3,76.35537748,103.6445904,0.201406048,0.172079595,1.967846154,9.73
2017Q4,209765.4658,96.99008478,98.16886517,93.76045874,97.49819643,2986.033152,4.9837,97.24340611,98.12077561,1.203333333,3,90.03428796,102.4686059,0.201406048,0.172079595,1.817230769,9.83
2018Q1,210783.8768,98.46134295,99.37049622,96.52260547,98.75539827,2858.874111,4.58056,91.66262444,98.8239999,1.446666667,3,98.45964836,109.2013249,0.150504252,0.173159897,1.703384615,9.73
2018Q2,212409.9489,99.29130676,100.2727926,98.08920811,99.38066693,2839.514505,4.32967,95.96179957,99.43258985,1.736666667,3,109.7260375,108.4815365,0.150504252,0.173159897,1.877076923,9.87
2018Q3,214869.027,99.46302354,99.81799314,98.93553464,99.51908369,2958.442283,4.25,97.07751202,99.8764606,1.923333333,3,110.9996254,99.4748991,0.150504252,0.173159897,1.802,9.73
2018Q4,215945.1474,100,100,100,100,3165.498587,4.25,100,100,2.22,3,100,100,0.150504252,0.173159897,1.970606061,10.5
2019Q1,217538.7413,101.615724,102.5884176,102.6317075,101.1391529,3137.261333,4.25,93.96565843,100.6818425,2.403333333,3,93.19949433,100.1391831,0.150504252,0.173159897,1.938125,10.83
2019Q2,219311.9167,102.7137653,105.2459889,103.2267011,102.0189473,3240.964725,4.25,98.33076843,101.1126466,2.396666667,3,100.2905436,102.3077852,0.150504252,0.173159897,1.856769231,10.67
2019Q3,221794.6863,103.2627441,106.292855,103.9126302,102.4220689,3338.27087,4.25,99.71871331,101.6016567,2.19,3,90.7899639,97.83295218,0.150504252,0.173159897,1.78530303,11.1
2019Q4,222578.6557,103.8043019,105.800694,104.8141528,103.1014985,3404.308913,4.25,102.7980647,102.2617214,1.643333333,3,91.46146204,107.076443,0.150504252,0.173159897,1.771212121,10.93
2020Q1,218060.7694,105.5339517,109.9681975,107.0165361,104.1676231,3535.779121,4.23901,94.45347844,102.2229174,1.26,3,74.72173529,102.2712717,0.150504252,0.173159897,2.301538462,11.9
2020Q2,183444.717,104.9666017,112.1370149,103.6808777,103.7001571,3845.866703,3.26648,89.59892147,101.8475476,0.06,3,48.82664894,102.6046374,0.150504252,0.173159897,3.372923077,21.13
2020Q3,202974.9034,105.2943592,110.6872341,105.1529533,104.1304925,3730.153587,2.25,98.38080027,103.0247356,0.093333333,3,63.44082922,110.5510331,0.150504252,0.173159897,2.560757576,18.2
2020Q4,214633.6102,105.4760179,110.8759332,105.5836548,104.246823,3661.588913,1.75,103.0606127,103.5687841,0.09,3,66.37807918,124.7060414,0.150504252,0.173159897,2.225757576,15.47
2021Q1,221699.3233,107.1238742,114.2794358,108.6407449,105.1431961,3552.810111,1.75,98.40593891,104.9403883,0.08,3,89.53354525,133.9640489,0.150504252,0.173159897,2.18140625,14.67
2021Q2,216791.6423,108.7818875,121.6860008,109.8262002,105.642978,3690.991319,1.75,101.6387302,107.287241,0.07,3,101.0185332,143.3385417,0.150504252,0.173159897,2.334307692,15.3
2021Q3,230740.5137,110.0433184,124.4096107,111.3947763,106.5003946,3844.291087,1.75,104.2024713,108.5776734,0.09,3,107.1789095,141.519747,0.150504252,0.173159897,2.755,12.63
2021Q4,237339.4295,111.4065845,129.9847688,113.0790089,106.8442172,3879.555217,2.3913,109.0561384,110.9185867,0.08,3,116.5996203,147.9055127,0.150504252,0.173159897,3.192878788,12.63
2022Q1,240577.4839,116.2592651,143.2667243,117.67889,109.8858642,3913.486667,3.66667,105.6077392,113.9207526,0.12,3,143.2921843,182.8055516,0.150504252,0.173159897,3.6359375,12
2022Q2,244115.5049,119.3052661,150.4639663,120.5852049,112.0438575,3915.427692,5.65934,105.7702025,117.0503799,0.77,3,163.8870742,176.003641,0.150504252,0.173159897,3.725846154,11.17
2022Q3,246196.8756,122.6321478,157.5329976,124.1592054,114.474734,4374.957834,8.494565217,106.8065001,117.4810426,2.201666667,3,144.037815,157.635223,0.150504252,0.173159897,4.139495939,10.77
2022Q4,247923.3704,,160.3770021,126.8764682,,4402.546667,,110.4585614,118.904725,3.665053763,3,134.9467321,159.2317995,0.150504252,0.173159897,3.761764625,
2023Q1,,,163.4324126,130.4150594,,,,107.1550544,120.5281563,4.291666667,3,140.9968687,160.2159527,0.150504252,0.173159897,3.472618762,
2023Q2,,,166.2879799,131.497449,,,,107.8842328,121.6153447,4.327777778,3,137.0938412,162.8376589,0.150504252,0.173159897,3.245557268,
2023Q3,,,166.7384453,133.3269979,,,,108.9632619,121.122955,4.125,3,136.1180843,165.8982548,0.150504252,0.173159897,3.018495773,
2023Q4,,,166.50492,134.6595216,,,,112.8362655,122.1151526,3.958333333,3,137.5817196,168.1236094,0.150504252,0.173159897,2.791434279,
